True|0.5118145121591021
Fake|0.4881854878408979
Pos|0.42913754061238557
Neg|0.5708624593876145
disappointed|0.0008415889198807348|0.001411717253201573|0.0002294235732721537|0.0017893329884016728
hotel|0.021135904587861885|0.027805788040738126|0.027588184685976486|0.021989393351442246
stayed|0.005241896700971434|0.004915801149541192|0.006337826211643247|0.004139179924977364
swissotels|2.4045397710878137e-05|5.041847332862761e-05|2.8677946659019214e-05|4.311645755184754e-05
enjoyed|0.0006492257381937097|0.0012604618332156903|0.002093490106108403|8.623291510369507e-05
much|0.001899586419159373|0.0018402742764949077|0.0014338973329509608|0.0021989393351442245
service|0.005386169087236703|0.006352727639407078|0.005878979065098939|0.005842279998275341
described|2.4045397710878137e-05|0.00012604618332156902|2.8677946659019214e-05|0.00010779114387961886
aloof|4.8090795421756275e-05|5.041847332862761e-05|2.8677946659019214e-05|6.46746863277713e-05
warmth|4.8090795421756275e-05|7.562770999294142e-05|5.735589331803843e-05|6.46746863277713e-05
prolonged|4.8090795421756275e-05|5.041847332862761e-05|2.8677946659019214e-05|6.46746863277713e-05
checkin|0.0008896797153024911|0.0006554401532721589|0.0007743045597935188|0.0007760962359332557
procedure|7.213619313263441e-05|5.041847332862761e-05|5.735589331803843e-05|6.46746863277713e-05
woman|0.00026449937481965954|0.00032772007663607947|8.603383997705764e-05|0.00045272280429439917
repeatedly|7.213619313263441e-05|0.00010083694665725522|2.8677946659019214e-05|0.0001293493726555426
asked|0.0015148600557853228|0.001285671069880004|0.0006882707198164612|0.0019402405898331393
provide|0.0001923631816870251|0.0003025108399717657|0.0002007456266131345|0.000280256974087009
information|0.00014427238626526882|0.00017646465665019663|0.00011471178663607685|0.00019402405898331392
had|0.011686063287486776|0.015049914288595341|0.010065959277315744|0.0157806234639762
minutes|0.0012744060786765413|0.0016638096198447112|0.0005162030398623459|0.002177381106368301
ago|0.00021640857939790324|0.00032772007663607947|0.0001720676799541153|0.0003449316604147803
precise|2.4045397710878137e-05|7.562770999294142e-05|5.735589331803843e-05|4.311645755184754e-05
room|0.020077907088583244|0.02140264192800242|0.01677659879552624|0.023692493424740224
forever|0.00012022698855439069|0.0003025108399717657|2.8677946659019214e-05|0.0003449316604147803
pick|0.00016831778397614696|0.00017646465665019663|0.0002007456266131345|0.00015090760143146638
good|0.0036308550543425987|0.002369668246445498|0.003211930025810152|0.0028672444271978614
sign|0.00026449937481965954|0.0003025108399717657|0.00011471178663607685|0.00040960634674255163
waybusy|2.4045397710878137e-05|5.041847332862761e-05|2.8677946659019214e-05|4.311645755184754e-05
food|0.001226315283254785|0.0026469698497529493|0.0021795239460854605|0.0017246583020739017
arrived|0.0013465422718091757|0.0021175758798023595|0.0008890163464295957|0.0023498469365756908
late|0.0007934981244589785|0.0005546032066149037|0.0004588471465443074|0.000840770922261027
cold|0.00028854477253053765|0.0006554401532721589|0.00011471178663607685|0.0007329797783814082
man|0.00024045397710878137|0.00027730160330745183|0.0002007456266131345|0.00030181520286293276
replace|7.213619313263441e-05|7.562770999294142e-05|2.8677946659019214e-05|0.00010779114387961886
another|0.0014427238626526884|0.0016386003831803974|0.0005448809865213651|0.0022851722502479194
hour|0.0007934981244589785|0.0012100433598870627|0.00048752509320332667|0.0013797266416591212
never|0.0025007213619313265|0.002294040536452556|0.0013191855463148838|0.0032121760876126417
price|0.0020198134077137634|0.0019159019864878491|0.0015772870662460567|0.002263614021471996
reduction|2.4045397710878137e-05|5.041847332862761e-05|2.8677946659019214e-05|4.311645755184754e-05
free|0.002091949600846398|0.0009579509932439246|0.001749354746200172|0.0013797266416591212
dessert|7.213619313263441e-05|0.00010083694665725522|0.00014338973329509606|4.311645755184754e-05
anything|0.0007454073290372223|0.0008571140465866694|0.0007169486664754804|0.0008623291510369509
apologize|7.213619313263441e-05|0.00015125541998588284|2.8677946659019214e-05|0.00017246583020739015
cleanliness|9.618159084351255e-05|0.0004033477866290209|0.0002007456266131345|0.000280256974087009
must|0.0006011349427719534|0.0006806493899364727|0.0005448809865213651|0.0007114215496054844
godly|2.4045397710878137e-05|5.041847332862761e-05|2.8677946659019214e-05|4.311645755184754e-05
knocked|9.618159084351255e-05|7.562770999294142e-05|5.735589331803843e-05|0.00010779114387961886
door|0.0016110416466288352|0.0011596248865584351|0.0009176942930886148|0.0017462165308498253
despite|0.0005049533519284409|0.00037813854996470705|0.00014338973329509606|0.0006683050920536369
fact|0.000697316533615466|0.0007814863365937279|0.0006595927731574419|0.0007976544647091795
doorknocker|2.4045397710878137e-05|5.041847332862761e-05|2.8677946659019214e-05|4.311645755184754e-05
requesting|4.8090795421756275e-05|0.00010083694665725522|5.735589331803843e-05|8.623291510369507e-05
im|0.0008415889198807348|0.0011092064132298073|0.0008603383997705764|0.0010563532100202647
sleeper|0.00016831778397614696|0.00015125541998588284|5.735589331803843e-05|0.00023714051653516148
stay|0.008536116187361739|0.010487042452354543|0.011041009463722398|0.008321476307506575
clearly|0.0003366355679522939|0.00015125541998588284|0.00011471178663607685|0.0003449316604147803
did|0.003294219486390305|0.0035292931330039327|0.0019501003728133067|0.004505669814168068
not|0.01252765220736751|0.012831501462135726|0.005075996558646401|0.018389169145862975
help|0.0005049533519284409|0.0007562770999294141|0.0005162030398623459|0.0007114215496054844
build|2.4045397710878137e-05|5.041847332862761e-05|2.8677946659019214e-05|4.311645755184754e-05
chains|9.618159084351255e-05|7.562770999294142e-05|8.603383997705764e-05|8.623291510369507e-05
reputation|2.4045397710878137e-05|0.00012604618332156902|5.735589331803843e-05|8.623291510369507e-05
